kelime,anlam
Çeçeretsiz,Beceriksiz
Çelem,Şalgam
Çelet,Afacan
Çemkirmek,Bağırmak /Azarlamak
Çıbık çalmak,El çırpmak
Çıkın,Ekmeğe sarılan bez bohça
Çıkla,Sadece
Çızma,Çizme
Çillek,Açgözlü/Görgüsüz
Çimmek,Banyo yapmak
Çinke,Bir tutam
Çirtikli,Süslü ( mecazen farklı farklı huyları olan insan )
Çotura,Büyük bidon
Çömçe,Serviste kulanılan büyük kaşık / Yemek kepçesi
Çörten,Çatıdan akan suyu yönlendiren oluk
Çul,Gerekmez halı parçası
Çullama,"Lahmacun , börek  vb. iç harcının fazla olma durumu"
"Yöresel Kelimelerimiz ve Anlamları 
 
 
 
D 
Dabaz",Kaşıntı
Dabaz,Kurdeşen
Dahre,Ağaç kesmek için kullanılan alet
Damdıra,Saz
Darı,Mısır
Darı sapı,Koçan
De valla,Vallahi mi ? /Sahiden mi ?
Değne,Bakmak/ İncelemek
Dehliz,Sokak
Delip,Bulgur değirmeni
Depelemek,Ayakla ezmek
Depik,Tekme atmak
Depme,Bidon
Dereme,Topaç
Dezze,Teyze
Dıbık,Yapış yapış
Dıhız,İstenilenden fazla/ çok
Dıkılmak,Kapalı kalmak/Bunalmak
Dımdızlak,Yalnız kalmak
Dımışkı,Üzüm
Dırabzın,Merdiven korkuluğu
Dışlığı gelmek,Canı sıkılmak
Dilliklemek,Karıştırmak /Elini sürmek
Dilme,Üzüm suyu ve nişastadan yapılan tatlı
Dinelmek,Ayakta beklemek
Dişlen,Dişleri öne çıkmak
Dolak,Kadınların namaz kılarken başlarına bağladığı beyaz eşarp
Dolbak,Başı açık
Dombalak,Takla
Don kazanı,Çamaşır kaynatmak için yapılmış kazan
"Yöresel Kelimelerimiz ve Anlamları 
 
 
Döğme",Buğdaydan yapılmış keşkek
Döş,Göğüs
Döşün Tahtası,Göğüs kafesinin ön yüzü
Dulda,Gölge
Duluk,Şaç favorisi /Fayil
Duz ölbesi,Tuz koymak için tahtadan yapılan kap
Dürbeke,Darbuka
Dürüm,Pidenin içine yemek konulup yuvarlanmış hali
"E 
Ebe",Hala
Ede,Erkek kardeş
Eer,Eğer
Efen,Kalitesiz
Eğleşmek,Vakit geçirmek /gönül eğlendirmek
Elden ayrıksı,Farklı duran
Eletmek,Götürmek
Ellem,Galiba
Ellik Gavuru,Ermeni
Elöpen,Kertenkele
Ergen,Genç kız veya  erkek
Esikcaz,Kadınlar için kullanılan bir tabir
Esnaf servesi,Esnafların bazen dükkanlarını kapatarak yaptığı piknik
Eşmarlaşmak,İşaretleşmek
Etee esik,Kadınlar için kullanılan bir tabir
Ev ekme,Evde yapılmış yufka şeklindeki ekmek
Evergeç,Ekmek yapmakta kullanılan şiş
Evermek,Evlendirmek
"Yöresel Kelimelerimiz ve Anlamları 
 
 
F 
Faal",Tarla işçisi
Fanus,Gemici feneri
Fartçı,Pekmez yapmak için üzüm tepeleyen kimse
Felee,Felek / Feleğe
Fenikmek,Fenalaşmak
Fermene,Kadın yeleği
Fıhara,Fakir
Fıharacaz,Zavallı
Fıslak,"Ezik,Özgüvensiz"
Firez,Ekini biçilmiş tarla
Firik,Buğdayın yaşken ateşten geçirilmiş hali ( mecazen aklı olgunlaşmamış kişi)
Firik Pilavı,Firikten yapılmış yöresel pilav
"Yöresel Kelimelerimiz ve Anlamları 
 
 
G 
Gadan baa gele","Derdin tasan bana gelsin ,Sana bir şey olmasın"
Galaba,Kalabalık
Galle,Para kasası
Galledar,Kasiyer
Ganına belenmek,Kana bulanmak / ölmek
Ganne,Şişe
Gap  Gacak,Mutfak eşyaları
Garaltı,Ev eşyası
Gaspadancak,Zorla
Gatrembiz,Kavonoz
Gavırga,Patlamış mısır
Gaz ocaa,İçine gaz konularak çalışan bir ocak
Geçi,Keçi
Geden ay,Geçen ay
Gine,Yine
Genler,Kendisi
Gergah,Gergef
Gergeç,Çamaşır serilen ip
Gıdım,"Az, biraz"
Gıhırdak,Tahtadan yapılmış büyük bıçak
Gıygıcı,Kemancı
Gidişmek,Kaşınmak
Godurtmak,Bırakmak/Salmak
Golçu,Bekçi
Goop,Koğuş
Göbelek,Mantar
Göre,Güya
Götümlenmek,Gereksiz yere kapris yapmak
Göyün,Gönür
Gudduk,Kısa boylu
Gundi,Köylü
"Yöresel Kelimelerimiz ve Anlamları 
 
 
Guru yer",Üzerinde örtü olmayan yer
Guvarmak,Bırakmak
Guzzulu gurt,Kuzunu kurt kapsın
Gülle,Misket
"H 
Habbab",Takunya
Hacet yeri,"Yatak , yorgan vb. yeri"
Haftan,Bindallı
Hakeke,Bir çocuk oyunu
Hakiye,Hikaye
Hakmet,Hikmet
Halfe,Hademe /hizmetli
Hallik,Yöreye has bir koyun türü
Hamadan,Tepsi
Hameyli,Gümüşten yapılan bir tür kolye
Hamıt,Atların boynuna geçirilen boyunduruk
Hampara,Büyük ve beyaz  sert taşlar
Hanek,Konuşmak
Hanen uludu,Gereksiz konuşma
Hanifi,Musluk
Haphap,Takunya
Hara,Neresi
Haradan,Nereden
Haraf,Bakımsız
Haral,Kıldan yapılmış büyük çuval
Harbul,Tahıl elemekte kullanılan elek
Harpandak,Aniden
"Yöresel Kelimelerimiz ve Anlamları 
 
 
Hartık hurtuk","Eğri büğrü , biçimsiz"
Has,Marul
Hasıtlamak,Kıskanmak
Hasraf,Tarla başlarına açılan büyük kuyu
Hasut,Kıskanç
Haşlamak,Pişirmek
Havara,Ev yapımında kullanılan bir tür kireç
Hayad,Bahçe
Hayce,Hatice
Hayir,İncir
Hayla,Nasıl
Hazne,Kiler
Hazvel,Korlanmış ateş
He,Evet
Heç,Hiç
Heke,Eke/Bilmiş
Heyye,Evet
Hım,Bina temeli
Hımsıma,Yemeğin tadının bozulması
Hırhız,Hırsız
Hısım,Akraba
Hış olmak,Çok yorulmak
Hille,Hal
Horanta,Aile fertlerinin  tümü
Hökelenmek,Sinirlenmek
Hönüsü,Bir üzüm çeşiti
Hörü,Git
Hösgüt,Susukun
Hösmek,Susmak
Hösün,Hüseyin
"Yöresel Kelimelerimiz ve Anlamları 
 
 
I 
Ihtıyar",İhtiyar
Ismariç,Sipariş
Istıfıl ol,Allah seni nasıl biliyorsa öyle yapsın
"İ 
İdara çıra",Gaz lambası
İginyik,Dizantere
İliklemek,Düğmeleri kapatmak
İnce,Orkestra
İtedi,Ekmek yaparken üzerine un konulan bez
İvez,sivrisinek
İzar,Kara çarşaf
"K 
Kabala",Süresi olmadan yapılan iş
Kahge,"Ramazan bayramında yapılan yuvarlak ,sert simit"
Kalem açkı,Kalemtıraş
Kalo,Yaşlı adam
Karabalık,Çamur balığı
Karsambaç,Pekmez ve karın karıştırılmasıyla yapılan soğuk tatlı
Kasmak,Kanaviçe yapımında kullanılan alet
Kastel,Çeşme
Kazzık,Hayvanları bağlamak için yere çakılan kazık
Kekil,Kahkül
Kelep,İp yumağı
Keneyi,İnadına
Keyek,İçmek
Kızını satma,Kızı evlendirmek
Köm etmek,Toplamak/ biriktirmek
"Yöresel Kelimelerimiz ve Anlamları 
 
 
Körleme",Körü körüne/ Bilmeden
Kösne,Köstebek
Kösnük,İşe yaramaz
Kulp,Bahane
Kübban,Bir pide çeşidi
Küf,Takke
Künefe,Kadayıf
"L 
Laylon",Traktör römorku
Lırık Çıra,Zeytinyağı konulup ucu ateşle yakılan alet
Lod,Taştan veya demirden yapılmış silindir alet
"M 
Maamed",Muhammed
Maasım,Gariban
Maayer,Kaliteli
Madda,Büyük çukur
Made,Mide
Mahmıl,Duvarın içine yapılmış dolap
Mahra 1.,Sebze kasası
Mahra 2.,Derinliği olan kasa
Maklap,Samanlık
Malhıta,Kırmızı mercimek
Masammak,Merdiven basamağı
Maşara,Tarla sulaması için oluşturulan alan
Maşraba,Sürahi
Mekine,Kamyon
Meses,ucu demirli sopa
Meymenetsiz,Suratsız
Mıh,Çivi
Mıhrı s,Cimri
"Yöresel Kelimelerimiz ve Anlamları 
 
 
Mırrık",Çamur
Mısmıl,Düzgün
Mil,Örgü şişi
Mintan,Gömlek
Miskilim,Güzel
Mişmiş,kayısı
Mumbar,Dolma yapımında kullanılan bağırsak
Mundar,Bozulmuş
Mutlak,Muska
"N 
Nacar",Marangoz
Nahır,Büyükbaş  inek sürüsü
Namtı,Sapsız bıçak
Navaht,Ne zaman
Neçe,Nice
Neçeye,kaç para
Nış,Hafif nemli yer
"O 
Odartmak",Onarmak
Odurlamak,Hırsızlık yapmak
Ofurtmak,Abartmak
Okla lomba,Florsan lamba
Oldoo,Olduğu gibi
Ovadancak,O zamana kadar
Okuntu,Davetiye
Ortancıl,Ortanca
"Yöresel Kelimelerimiz ve Anlamları 
 
 
Ö 
Ödünlü olmak",Korkmuş kişi
Ökenmek,Birisinin konuşmasını taklit etmek
Öksemek,Özlemek
Ölbe,Tahtadan/silindir şeklinde kap
Örklemek,Hayvanı atlanması için yere bağlamak
Örtme,Bir nevi balkon
Öteberi,"Muhtelif  , Eşya"
Ötee,Öteki
Övez,sivrisinek /ivez
"Yöresel Kelimelerimiz ve Anlamları 
 
 
P 
Paskıl",Kantar
Patlak,Plastik su bidonu
Pandir,Peynir
Perçem,Saçın ön kısmı
Peybaz,Salata
Pin,Tavuk kümesi
Pisik daşaa,Bir tür tatlı
"Pantolon 
Pöç",Kalça
Puhara,Baca
Pusmak,Diz çöküp oturmak
Pisik,Kedi
Pürçüklü,Havuç
Pırtmış,Kopmuş /Ayrılmış
Püssük,kedi
Pirpirim,Semiz otu
Pert,Bitmiş/Tükenmiş
Pecmurde,Pasaklı / Bakımsız
Rafık,Arkadaş
"Yöresel Kelimelerimiz ve Anlamları 
 
 
S 
 
Saa",Sana
Saan,Tabak
Saası,Küçük kürek
Saep,Sahip
Sahden,Gerçekten
Saho,Ceket
Sahre,Piknik
Sallama,Kalınca yapılmış ekmek
Samsak,Sarımsak
Sangalaç,Tahterevalli
Sarat,Kum elemede kullanılan elek
Savan,Sofra bezi
Savup da get,Defol git!
Saya,İş önlüğü
Sebil,Bedava
Seki,Bahçeli evlerde yapılan yüksek oturak
Sele,Çamaşır konulan plastik sepet
Sellif etmek,Ortalığa düşürmek
Sen saa ii bak,Kendine iyi bak
Serpene,Bağda üzümü kaldıran çatal sopa
Sındak,Kuytu köşe
Sındı,Makas
Sıyıpmak,Kaymak
Sıypancak,Kaydıraç
Siftah,İlk
Sigeç,Bahçe kenarındaki çit
Silece,Hayvanların üzerine asılan içine eşya konulan sepet
Sille,Tokat
Sini,Tepsi
Sitirli,Tertipli düzenli
"Yöresel Kelimelerimiz ve Anlamları 
 
 
Soklanmak",Söylenmek/Kızmak
Soku,Bulgur ezmek için taştan yapılan yer
Somya,Kanepe
Sona,Sonra
Soyha,Günlük yaşamda kullanılan kıyafet
Söbelek,mısır koçanı
Söhür,Sahur
Söörme,Közlenmiş patlıcandan yapılan yemek
Sufra,Sofra
Sulama,Şeker yağ ve hamurdan yapılan tatlı
Sumadı barabar,Suyu çıkana kadar
Sumsuk,Yumruk
Süllüm,Tahta merdiven
Süyük,Saçak
Sehlik,Salak
Sası,Kokmuş/Bozulmuş
Sındı,Koyun kırpma makası
Simüt,Köftelik ince bulgur
Soytarı,Başıboş/Boş gezen
Siter,Tarladaki ince uzun kesitler
Sülha,Sürahi
Silik,Arsız/Utanmaz
Süzünmek,Nazlı bir tavırla somurtmak
Siftinmek,Elbisesinin içinde vücudunu kımıldatarak kaşınmak
"Yöresel Kelimelerimiz ve Anlamları 
 
 
Ş 
Şabşak",Bir litrelik plastik sürahi
Şahıl,Eşeklerin üstüne asılan su taşımak için kullanılan bidon
Şak,Yolluk şeklinde dokunmuş ince uzun kilim
Şamşa şakımak,Pırıl pırıl parlamak
Şarmıta,Ahlaksız
Şarpa,Eşarp
Şimel,Avuç
Şimellemek,Avuçlamak
Şindi,Şimdi
Şorak,Tuzlu
Şaplak,Tokat
Şiksiz,Becerikli/Beceriksiz
Şırrik,Salya
Şırdan,Bağırsak dolması
Şorcu,dedikoducu
Şorba,Çorba
"Yöresel Kelimelerimiz ve Anlamları 
 
 
T 
Tabaat",Huy
Tabaka,İçerisine tütün konulan kutu
Tada,Pencerenin alt kısmındaki kenar
Taharlak,Makara
Talgın,Ölen kimsenin defnedildikten sonra başına geçip dua etmek
Tamah,Bencil/Cimri
Tamana,İşte burda
Tandır,Köz halindeki ateşin kenarına yapıştırılarak yapılan ekmek
Toplama,Bir çeşit ekmek
Tarpadak,Ansızın/Aniden
Tas,Bardak
Taşkala,Telaşlanma/Dalga geçmek
Taykeş,İkizlerin beyninin birbirinden farklı olması
Tebelleş,Sataşmak
Telbis,Kendirden yapılmış çuval
Temetos,Domates
Terşi,Elde ip eğirmek
Tiyek,Asma fidanı
Topaç,Etin yumruk büyüklüğünde ayrılıp pişirilmiş şekli
Tosbağa,Kaplumbağa
Tüsbeh,Tesbih
Tinbeat,Titiz
Tıpırt,Yapışkan
Toslak,Tombul
Tulluk,Şişman
Teber,Abdal
Tokan,Sigara
Tirrek,Cimri
Tırşik,Yılan yastığı otu
"Yöresel Kelimelerimiz ve Anlamları 
 
 
 
 
U 
Umsuluk olmak",Çok istenilen bir şeye ulaşamamak
Utuzmak,Yenilmek
Uvunmak,Şiddetli bir acı tesiriyle nefesi kesilir gibi olmak
"Ü 
Üdürgü",Matkap
Ütmek,Yenmek
Ütülmek,yenilmek
"Yöresel Kelimelerimiz ve Anlamları 
 
 
V 
Vırvırık",İshal olmak
Vırccık,Vıcık
Vırccığı çıkmak,vıcık olma durumu/İçi dışına çıkmak
Viiy,Aman tanrım
"Y 
Yaalık",Mendil
Yalbıdak,Çıplak
Yaldır cıplak,Yarı çıplak
Yalyanak,Çıplak ayaklı/Yalın ayak
Yannık,Ayran yapmaya yarayan alet
Yarlık,Önlük
Yavan,Çirkin
Yazalamak,Yüzeye yaymak
Yazlık,Dam
Yekinmek,Kalkıp fırlamak
Yemeni,Deriden yapılmış ayakkabı
Yenice,Yeni ekilmiş bağ
Yenlice,Hafif
Yıllık bırakmak,Hafif acı bırakmak
Yırak,Uzak
Yumak,Yıkamak
Yunmak,Banyo yapmak
Yörep,Dağ yamacı
Yukalmak,İnceleşmek
Yeyken,Para
"Yöresel Kelimelerimiz ve Anlamları 
 
 
Z 
Zahter",Kekik
Zahvur,Kurutulmuş sarı çiçek
Zanbırlamak,Kızmak/Öfkelenmek
Zembil,Lastikten yapılmış sepet
Zevzir,Küçük siyah renkli göçmen kuş
Zırza,Kapı sürgüsü
Zibil,Hayvan gübresi
Zogumlemek,Sinirlenmek
Zongurtulu,Öfkeli/Kızgın
Zubun,Kadınların giydiği boydan elbise
Zatene,Zaten
Zaar,Herhalde
Zıllımak,Oyun bozanlık yapmak
Zırtto,Yaramaz çocuk
Zırlamak,Bağırmak
Zırrık,Deli / Mecnun
Zumzuk,Yumruk
